"Time","Est_(1) Full","SE_(1) Full","Est_(2) Low R.","SE_(2) Low R.","Est_(3) High R.","SE_(3) High R.","Est_(4) Low V.","SE_(4) Low V.","Est_(5) High V.","SE_(5) High V.","Est_(6) LR-LV","SE_(6) LR-LV","Est_(7) HR-HV","SE_(7) HR-HV","Est_.1..Full","SE_.1..Full","Est_.2..Low.R.","SE_.2..Low.R.","Est_.3..High.R.","SE_.3..High.R.","Est_.4..Low.V.","SE_.4..Low.V.","Est_.5..High.V.","SE_.5..High.V.","Est_.6..LR.LV","SE_.6..LR.LV","Est_.7..HR.HV","SE_.7..HR.HV"
"-6","-0.005","(0.023)","—","","-0.022","(0.027)","—","","-0.021","(0.031)","—","","—","","","","","","","","","","","","","","",""
"-5","0.002","(0.021)","—","","-0.012","(0.026)","—","","-0.013","(0.027)","—","","—","","","","","","","","","","","","","","",""
"-4","0.009","(0.007)","—","","0.003","(0.008)","—","","0.009","(0.01)","—","","—","","","","","","","","","","","","","","",""
"-3","0.007","(0.005)","—","","0.004","(0.006)","—","","0.007","(0.007)","—","","—","","","","","","","","","","","","","","",""
"-2","0","(0.003)","—","","0.002","(0.003)","—","","0.002","(0.004)","—","","—","","","","","","","","","","","","","","",""
"-1","0.001","(0.001)","—","","0.001","(0.002)","—","","0","(0.003)","—","","—","","","","","","","","","","","","","","",""
"1","0.045","(103.806)","0.002","(0.036)","0.055","(99.513)","-0.015","(0.02)","0.076*","(0.042)","-0.033","(0.024)","—","","","","","","","","","","","","","","",""
"2","0.033","(25.105)","—","","0.051","(9.561)","—","","0.058**","(0.025)","—","","—","","","","","","","","","","","","","","",""
"3","0.045","(470.969)","—","","0.058","(884.883)","—","","0.075***","(0.027)","—","","—","","","","","","","","","","","","","","",""
"4","0.046","(692.429)","—","","0.059","(884.884)","—","","0.076***","(0.029)","—","","—","","","","","","","","","","","","","","",""
"5","0.047","(692.429)","—","","0.059","(884.884)","—","","0.078***","(0.027)","—","","—","","","","","","","","","","","","","","",""
"6","0.045","(670.825)","—","","0.058","(874.841)","—","","0.077***","(0.027)","—","","—","","","","","","","","","","","","","","",""
"ATE","0.044**","(0.02)","0.002","(0.036)","0.057**","(0.027)","-0.015","(0.02)","0.074***","(0.019)","-0.033","(0.024)","—","","","","","","","","","","","","","","",""
"Observations","9,028","","1,803","","7,225","","2,011","","7,017","","894","","6,108","","","","","","","","","","","","","","",""
"Pre-trend test (p)","0.004","","—","","0.000","","—","","0.000","","—","","—","","","","","","","","","","","","","","",""
"Product FE","","","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
"Day FE","","","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
"Retailer x Month FE","","","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
