Time,Estimate_1,SE_1,Estimate_2,SE_2,Estimate_3,SE_3,Estimate_4,SE_4,Estimate_5,SE_5,Estimate_6,SE_6,Estimate_7,SE_7
-6,.003,.015,0,.0089999996,.012,.024,.022,.035,.016,.027000001,-.011,.0070000002,.016,.027000001
-5,-.006,.0049999999,-.059,.044,-.003,.0049999999,.008,.029999999,-.005,.0049999999,-.002,.001,-.004,.0070000002
-4,-.003,.0020000001,-.051,.037,-.002,.0040000002,.014,.024,-.003,.0040000002,-.002,.001,-.003,.0040000002
-3,.001,.0020000001,.006,.0070000002,-.001,.003,.007,.012,-.001,.003,-.001,.001,-.002,.003
-2,.001,.001,.011*,.0060000001,-.001,.003,.001,.001,.001,.003,.001,.001,0,.003
-1,.001,.001,.007,.0060000001,0,.0020000001,-.005,.0089999996,0,.001,.001,0,0,.0020000001
0,.043*,.022,-.111,.079000004,.054,.035999998,-.04,.052999999,.075*,.044,-.15,.098999999,.084*,.045000002
1,.031**,.016000001,-.065,.068999998,.049**,.02,-.04,.052999999,.057**,.028000001,-.15,.098999999,.063**,.026000001
2,.042**,.021,-.03,.059999999,.055**,.022,-.02,.045000002,.073**,.035,-.056,.090000004,.073**,.035
3,.042**,.022,-.016,.061999999,.055**,.023,-.017,.044,.074**,.035,-.04,.088,.073**,.035999998
4,.042**,.021,-.011,.061000001,.056**,.023,-.021,.039999999,.075**,.035,-.055,.075000003,.073**,.037
5,.041*,.021,-.008,.061000001,.054**,.026000001,-.017,.046999998,.074**,.035,-.053,.074000001,.07*,.037
6,.007,.016000001,-.04,.205,.02,.021,.02,.142,.031,.023,-.055,.081,.022,.022
ATE,.047**,.022,-.051,.075999998,.068**,.027000001,-.021,.052000001,.091**,.041000001,-.102,.109,.091**,.037
Day FE,YES,,YES,,YES,,YES,,YES,,YES,,YES,
Product FE,YES,,YES,,YES,,YES,,YES,,YES,,YES,
Retailer-by-month FE,YES,,YES,,YES,,YES,,YES,,YES,,YES,
